,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_Baking Goods,Item_Type_Breads,Item_Type_Breakfast,Item_Type_Canned,Item_Type_Dairy,Item_Type_Frozen Foods,Item_Type_Fruits and Vegetables,Item_Type_Hard Drinks,Item_Type_Health and Hygiene,Item_Type_Household,Item_Type_Meat,Item_Type_Others,Item_Type_Seafood,Item_Type_Snack Foods,Item_Type_Soft Drinks,Item_Type_Starchy Foods,Outlet_Identifier_OUT010,Outlet_Identifier_OUT013,Outlet_Identifier_OUT017,Outlet_Identifier_OUT018,Outlet_Identifier_OUT019,Outlet_Identifier_OUT027,Outlet_Identifier_OUT035,Outlet_Identifier_OUT045,Outlet_Identifier_OUT046,Outlet_Identifier_OUT049
0,0.2825245608812147,1,0.016047301,0.9275071477565213,1999,2,1,2,0.28358665714577175,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0812741887466508,2,0.019278216,0.07206840114364103,2009,2,3,3,0.031418953381617876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2,0.7707651086632926,1,0.016760075,0.4682884094289265,1999,2,1,2,0.15811486279710293,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0.8719857100327477,2,0.0,0.6400934811102282,1998,2,3,1,0.053555034173212286,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,0.26049419470080376,1,0.0,0.09580455554876435,1987,1,3,2,0.07365092318677957,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0.3477225364691872,2,0.0,0.08536051178615812,2009,2,3,3,0.0400897684382332,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,0.5415302173265852,2,0.012741089,0.11192266161400077,1987,1,3,2,0.023768234214016117,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7,0.4943521991149732,1,0.127469857,0.32458709397007796,1985,2,3,4,0.3056207283484648,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
8,0.6933611193807679,2,0.016687114,0.2787905181019905,2002,2,2,2,0.07992451290421301,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,0.8719857100327477,2,0.09444959,0.6643992488913338,2007,2,2,2,0.35830868101601554,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,0.43137838642453114,1,0.0,0.06048513062907048,1999,2,1,2,0.11358767724166072,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,0.8303066388806192,2,0.045463773,0.4788665797390814,1997,3,1,2,0.1650005100479445,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,0.6278654361417088,2,0.1000135,0.4846747685892604,1999,2,1,2,0.11919820463123534,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0.7767192616850254,2,0.047257328,0.37516468702673705,1997,3,1,2,0.1617872079975518,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
14,0.7022923489133671,1,0.0680243,0.7009920271105406,1987,1,3,2,0.14893399979598082,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,0.2646621018160167,2,0.069088961,0.1064158330447066,1997,3,1,2,0.11598490258084261,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,0.43137838642453114,1,0.008596051,0.35679019891476343,2009,2,3,3,0.12169743955931858,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,0.2646621018160167,2,0.069196376,0.09792681104795281,1999,2,1,2,0.052483933489748044,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,0.4943521991149732,1,0.034237682,0.34802188809431645,1985,2,3,4,0.17392634907681326,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,0.5236677582613872,1,0.10249212,0.845698442773805,2004,3,2,2,0.2079975517698664,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,0.8511461744566835,2,0.138190277,0.9320199118499957,1987,1,3,2,0.28664694481281244,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
21,0.4943521991149732,2,0.035399923,0.4807095464145767,1985,2,3,4,0.30878302560440685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,0.5980946710330455,1,0.025698134,0.7012713159342339,2004,3,2,2,0.11904519024788332,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,0.4943521991149732,1,0.057556998,0.3242967694177889,1985,3,1,1,0.013873304090584517,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,0.5534385233700505,2,0.025896485,0.567622700323941,1997,3,1,2,0.3098541262878711,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,0.502828222685323,1,0.099887103,0.06203777275227675,2007,2,2,2,0.06171580128532083,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,0.18398332837153913,2,0.066693437,0.04677960461531148,2004,3,2,2,0.07905743139855147,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
27,0.42244715689193213,1,0.019356132,0.03321924087769696,1987,1,3,2,0.02111598490258084,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,0.08157189639773742,2,0.161466534,0.06035100408152178,1998,2,3,1,0.011119045190247886,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,0.4943521991149732,2,0.072221801,0.05244263118934595,1985,3,1,1,0.007089666428644293,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,0.8749627865436141,1,0.170348551,0.10401428872182494,1998,2,3,1,0.009996939712332962,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,0.8362607919023519,1,0.080829372,0.2765451717838492,2009,2,3,3,0.2074875038253596,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,0.8422149449240844,1,0.0,0.95661600418339,2009,2,3,3,0.232479853106192,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
33,0.791604644239357,1,0.0,0.2625382854892054,2002,2,2,2,0.16403141895338166,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,0.7707651086632926,1,0.097904029,0.609443018288749,1997,3,1,2,0.15719677649699074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
35,0.32420363203334324,1,0.089291137,0.4899023083348613,1999,2,1,2,0.2878710598796287,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,0.4943521991149732,2,0.059511812,0.4107744364987199,1985,2,3,4,0.2117719065592166,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,0.2557308722834177,2,0.113123893,0.38730653518869396,2009,2,3,3,0.12077935325920637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
38,0.4943521991149732,2,0.123111453,0.024182676962152552,1985,2,3,4,0.02718555544221157,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
39,0.4943521991149732,1,0.026480954,0.23909245563637105,1985,2,3,4,0.16449046210343773,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
40,0.5236677582613872,1,0.102511504,0.8461228938736426,1997,3,1,2,0.2606344996429664,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
